CODMUNDV;NOME_MUNIC;RM;Zona;LAT;LONG
3508405;Cabreúva;AUJ;801;-23,25231811;-47,05405879
3509601;Campo Limpo Paulista;AUJ;802;-23,20399042;-46,78098845
3524006;Itupeva;AUJ;803;-23,15132279;-47,03834903
3525201;Jarinu;AUJ;804;-23,08767117;-46,71500241
3525904;Jundiaí;AUJ;800;-23,19670713;-46,88460968
3527306;Louveira;AUJ;805;-23,08580262;-46,95214556
3556503;Várzea Paulista;AUJ;806;-23,21458428;-46,83991682
3500600;Águas De São Pedro;AUP;701;-22,59996454;-47,87609451
3502002;Analândia;AUP;702;-22,12937534;-47,65763069
3503307;Araras;AUP;703;-22,36939257;-47,38881139
3510401;Capivari;AUP;704;-22,99575478;-47,50964765
3511706;Charqueada;AUP;705;-22,51207868;-47,77350108
3512209;Conchal;AUP;706;-22,34158368;-47,17130612
3512407;Cordeirópolis;AUP;707;-22,48228343;-47,45899574
3512704;Corumbataí;AUP;708;-22,224058;-47,61525523
3514908;Elias Fausto;AUP;709;-23,04243399;-47,375238
3521101;Ipeúna;AUP;710;-22,43461105;-47,70861366
3521408;Iracemápolis;AUP;711;-22,57431763;-47,51295824
3526407;Laranjal Paulista;AUP;712;-23,04739986;-47,83574003
3526704;Leme;AUP;713;-22,19227641;-47,38285234
3526902;Limeira;AUP;714;-22,57200022;-47,39344621
3530904;Mombuca;AUP;715;-22,93152948;-47,56361015
3538709;Piracicaba;AUP;700;-22,72163855;-47,63445661
3542107;Rafard;AUP;716;-23,01495616;-47,52620057
3543907;Rio Claro;AUP;717;-22,4048158;-47,56493438
3544004;Rio Das Pedras;AUP;718;-22,84181269;-47,6036682
3545159;Saltinho;AUP;719;-22,84512327;-47,67683207
3546702;Santa Gertrudes;AUP;720;-22,45579877;-47,53249067
3547007;Santa Maria Da Serra;AUP;721;-22,56456844;-48,15425653
3550407;São Pedro;AUP;722;-22,54981932;-47,90393803
3504107;Atibaia;MR Bragança;901;-23,12085811;-46,56484817
3507100;Bom Jesus Dos Perdões;MR Bragança;902;-23,13284863;-46,46545454
3507605;Bragança Paulista;MR Bragança;900;-22,94946906;-46,53882126
3525508;Joanópolis;MR Bragança;903;-22,92949111;-46,2746977
3532405;Nazaré Paulista;MR Bragança;904;-23,16587225;-46,39473721
3536802;Pedra Bela;MR Bragança;905;-22,79679609;-46,44365116
3538204;Pinhalzinho;MR Bragança;906;-22,78379708;-46,59085815
3538600;Piracaia;MR Bragança;907;-23,05287742;-46,35936002
3554953;Tuiuti;MR Bragança;908;-22,81704679;-46,69364694
3556354;Vargem;MR Bragança;909;-22,89019059;-46,41447341
3506359;Bertioga;RMBS;301;-23,84144307;-46,13459722
3513504;Cubatão;RMBS;302;-23,89683525;-46,42801615
3518701;Guarujá;RMBS;303;-23,99472304;-46,25559901
3522109;Itanhaém;RMBS;304;-24,19168432;-46,81697295
3531100;Mongaguá;RMBS;305;-24,12285785;-46,69409764
3537602;Peruíbe;RMBS;306;-24,28408062;-46,96777691
3541000;Praia Grande;RMBS;307;-24,0288749;-46,50370541
3548500;Santos;RMBS;300;-23,95383735;-46,32098301
3551009;São Vicente;RMBS;308;-23,95769976;-46,38898082
3501608;Americana;RMC;201;-22,74050887;-47,32259974
3503802;Artur Nogueira;RMC;202;-22,56868964;-47,16369178
3509502;Campinas;RMC;200;-22,8961587;-47,06178932
3512803;Cosmópolis;RMC;203;-22,63721869;-47,19150068
3515152;Engenheiro Coelho;RMC;204;-22,49055989;-47,21136417
3519055;Holambra;RMC;205;-22,63192176;-47,04947669
3519071;Hortolândia;RMC;206;-22,87858822;-47,20771394
3520509;Indaiatuba;RMC;207;-23,08889275;-47,20331317
3523404;Itatiba;RMC;208;-23,00265997;-46,84299846
3524709;Jaguariúna;RMC;209;-22,6934986;-46,9875688
3531803;Monte Mor;RMC;210;-22,95324273;-47,30731677
3532009;Morungaba;RMC;211;-22,8707196;-46,79621908
3533403;Nova Odessa;RMC;212;-22,78426041;-47,28513663
3536505;Paulínia;RMC;213;-22,74835841;-47,1450701
3537107;Pedreira;RMC;214;-22,7548692;-46,88852929
3545803;Santa Bárbara D'Oeste;RMC;215;-22,75871707;-47,409337
3548005;Santo Antônio De Posse;RMC;216;-22,60331771;-46,94988829
3552403;Sumaré;RMC;217;-22,81970613;-47,26409353
3556206;Valinhos;RMC;218;-22,97315915;-46,99637722
3556701;Vinhedo;RMC;219;-23,03106592;-46,98402679
3500758;Alambari;RMS;601;-23,54899737;-47,8689504
3501152;Alumínio;RMS;602;-23,53140702;-47,26234714
3502754;Araçariguama;RMS;603;-23,43443388;-47,07237502
3502903;Araçoiaba Da Serra;RMS;604;-23,51286776;-47,61260677
3507001;Boituva;RMS;605;-23,28758396;-47,67496121
3510302;Capela Do Alto;RMS;606;-23,46850596;-47,73774679
3511508;Cerquilho;RMS;607;-23,16724295;-47,74337478
3511607;Cesário Lange;RMS;608;-23,22252968;-47,95690735
3519709;Ibiúna;RMS;609;-23,65522281;-47,21136417
3521002;Iperó;RMS;610;-23,35296663;-47,69206075
3522307;Itapetininga;RMS;611;-23,58702481;-48,04298249
3523909;Itu;RMS;612;-23,26920889;-47,29876355
3525854;Jumirim;RMS;613;-23,08381627;-47,7923714
3528403;Mairinque;RMS;614;-23,54001454;-47,18554163
3537800;Piedade;RMS;615;-23,71613753;-47,4172824
3537909;Pilar Do Sul;RMS;616;-23,81015807;-47,72318022
3540606;Porto Feliz;RMS;617;-23,21292899;-47,51858623
3545209;Salto;RMS;618;-23,20167301;-47,29148027
3545308;Salto De Pirapora;RMS;619;-23,65280698;-47,58064371
3550209;São Miguel Arcanjo;RMS;620;-23,88166665;-47,99663434
3550605;São Roque;RMS;621;-23,53074491;-47,13389654
3551108;Sarapuí;RMS;622;-23,6386699;-47,82713251
3552205;Sorocaba;RMS;600;-23,49499062;-47,46296844
3553500;Tapiraí;RMS;623;-23,96045851;-47,50401966
3554003;Tatuí;RMS;624;-23,34965604;-47,85295506
3554508;Tietê;RMS;625;-23,10930776;-47,71523483
3557006;Votorantim;RMS;626;-23,54398724;-47,44575341
3503901;Arujá;RMSP;101;-23,38596816;-46,31908728
3505708;Barueri;RMSP;102;-23,5022739;-46,84148934
3506607;Biritiba-Mirim;RMSP;103;-23,56500944;-46,06234376
3509007;Caieiras;RMSP;104;-23,34949052;-46,7474688
3509205;Cajamar;RMSP;105;-23,33724136;-46,84165487
3510609;Carapicuíba;RMSP;106;-23,53422102;-46,836689
3513009;Cotia;RMSP;107;-23,59712209;-46,91034946
3513801;Diadema;RMSP;108;-23,69728754;-46,61142421
3515004;Embu;RMSP;109;-23,65538834;-46,80407976
3515103;Embu-Guaçu;RMSP;110;-23,83399426;-46,81268728
3515707;Ferraz De Vasconcelos;RMSP;111;-23,5610608;-46,37393919
