"CODMUNDV";"Zona";"LAT";"LONG";"NOME_MUNIC";"NOME_UF";"UF";"REG";"CENTR";"RM";"MUN_HIS_TUR";"POP_2010";"POP_URB_10";"POP_2015";"POP_2016";"TXC_POP_10_16";"AREA";"DENS_2016";"PREF_12";"PART_12";"PREF_16";"PART_16";"ANTEN_TOTAL";"AREA_URB";"PIB";"PIB_PER_CAP";"PRIN_ATIVIDADE";"REC_TOTAL";"REC_PROP";"Perc.receitpropria";"DESP_TCU";"RENDA";"VEIC_2016";"AUTO_2016";"MOTO_2016";"VEIC_2010";"AUTO_2010";"MOTO_2010";"TXC_AUTO_10_16";"TXC_MOTO_10_16";"ACESS";"PAV";"CAL";"ARB";"LOGR";"TX_ACID_TRAN";"IDH";"PD";"PD_ANO";"PDMU";"VEIC_HAB";"MOTO_HAB";"AUTO_HAB"
3508405;801;-23,25231811;-47,05405879;"Cabreúva";"SÃO PAULO";"SP";"Sudeste";"";"AUJ";0;41604;"85%";46528;47210;0,028359168;260,2;181,4373559;"HENRIQUE MARTIN";"PDT";"HENRIQUE MARTIN";"PDT";26;13,05;3595664,115;79705,26945;"Serviços";197628015,3;140792090,7;"0,712409576";"";755,2782258;25465;18172;5090;15373;10532;3331;0,115265777;0,088500493;0,029029414;"56%";0,472264083;0,629812486;0,549903969;"28,36569932";0,738;"Sim";"2004";"Sim";0,53939843253548;0,107816140648168;0,384918449481042
3509601;802;-23,20399042;-46,78098845;"Campo Limpo Paulista";"SÃO PAULO";"SP";"Sudeste";"";"AUJ";0;74074;"100%";80847;81693;0,02211445;79,6;1026,29397;"JOSÉ ROBERTO DE ASSIS";"PR";"ROBERTO ANTONIO JAPIM DE ANDRADE";"PROS";17;29,35;1521942,717;19242,93178;"Serviços";182023815,9;90556036,85;"0,497495541";"";799,5939063;40935;30440;8296;27030;19691;5881;0,091026691;0,071231939;0,001563738;"80%";0,680565361;0,741256154;0,844853707;"20,00450101";0,769;"Sim";"2006";"Não";0,50108332415262;0,101550928476124;0,372614544697832
3524006;803;-23,15132279;-47,03834903;"Itupeva";"SÃO PAULO";"SP";"Sudeste";"";"AUJ";1;44859;"87%";54128;55596;0,048076777;200,7;277,0104634;"RICARDO ALEXANDRE DE ALMEIDA BOCALON";"PT";"MARCO ANTONIO MARCHI";"PSD";20;25,15;3102671,382;60739,03493;"Serviços";211965110,9;142825306,3;"0,673815166";"Não informado";1071,375098;31777;22635;5532;18110;12760;3427;0,121465622;0,100509038;0,00205559;"74%";0,530150894;0,772238776;0,711909652;"26,6023144";0,762;"Sim";"2004";"Não";0,5715698971149;0,0995035614072955;0,407133606734297
3525201;804;-23,08767117;-46,71500241;"Jarinu";"SÃO PAULO";"SP";"Sudeste";"Centro Local";"AUJ";0;23847;"77%";27473;28012;0,036019867;207,6;134,9325626;"VICENTE CANDIDO TEIXEIRA FILHO";"PSB";"ELIANE LORENCINI CAMARGO";"DEM";23;0;1188119,582;45084,79423;"Serviços";100495018,4;59994831,95;"0,596993094";"Não informado";775,525;16443;11314;3733;9266;6109;2291;0,131173467;0,102571037;0,005791428;"14%";0,09594168;0,401684271;0,33143766;"33,4311504";0,733;"Sim";"2006";"Sim";0,586998429244609;0,133264315293446;0,403898329287448
3525904;800;-23,19670713;-46,88460968;"Jundiaí";"SÃO PAULO";"SP";"Sudeste";"Centro de Zona A";"AUJ";1;370126;"96%";401896;405740;0,020800849;431,5;940,3012746;"PEDRO ANTONIO BIGARDI";"PC do B";"LUIZ FERNANDO ARANTES MACHADO";"PSDB";217;269,46;36622896,04;92970,39003;"Serviços";1779321580;1465989339;"0,823903535";"11817400,04";1381,62247;299013;224535;49102;227292;171146;39557;0,055804379;0,04417951;0,058175956;"81%";0,797428535;0,706909365;0,796538569;"18,59460003";0,822;"Sim";"2012";"Não";0,736957164686745;0,121018386158624;0,553396263617095
3527306;805;-23,08580262;-46,95214556;"Louveira";"SÃO PAULO";"SP";"Sudeste";"";"AUJ";0;37125;"96%";43862;44904;0,042570644;55,1;814,9546279;"NICOLAU FINAMORE JUNIOR";"PTB";"NICOLAU FINAMORE JUNIOR";"PTB";21;8,12;11598657,17;278145,2558;"Serviços";483503614,6;428455191,6;"0,886146822";"Não informado";980,4040385;26630;17959;6413;16767;11018;4134;0,102645416;0,09178759;0,002916931;"55%";0,502469959;0,416579253;0,601182752;"28,04000374";0,777;"Sim";"2013";"Sim";0,593042936041333;0,14281578478532;0,399942098699448
3556503;806;-23,21458428;-46,83991682;"Várzea Paulista";"SÃO PAULO";"SP";"Sudeste";"";"AUJ";0;107089;"100%";116601;117772;0,02150231;34,8;3384,252874;"JUVENAL ROSSI";"PV";"JUVENAL ROSSI";"PV";23;25,25;2368422,855;20744,70399;"Indústria";248250788,3;143279346,9;"0,577155657";"Não informado";678,7191477;60960;42832;14080;40769;28154;10059;0,087541027;0,069570877;0,005005523;"78%";0,742662652;0,735837025;0,537890101;"13,8644576";0,759;"Sim";"2006";"Sim";0,517610297863669;0,119553034677173;0,363685765716809
3500600;701;-22,59996454;-47,87609451;"Águas De São Pedro";"SÃO PAULO";"SP";"Sudeste";"Centro Local";"AUP";1;2707;"100%";3139;3205;0,037709434;5,4;593,5185185;"PAULO CESAR BORGES";"PSDB";"PAULO SERGIO BARBOZA DE LIMA";"PSDB";5;0;97021,15709;32297,3226;"Serviços";25604316,18;12011541,96;"0,469121764";"";1536,731429;2369;1875;319;1597;1260;233;0,082744897;0,064846364;0,018180407;"97%";0,933011829;0,978422975;0,88950826;"Sem informação";0,854;"Não";"-";"Não";0,739157566302652;0,0995319812792512;0,585023400936037
3502002;702;-22,12937534;-47,65763069;"Analândia";"SÃO PAULO";"SP";"Sudeste";"Centro Local";"AUP";1;4293;"79%";4731;4789;0,024585051;326,3;14,6766779;"ROGERIO LUIZ BARBOSA ULSON";"PMDB";"JAIRO APARECIDO MASCIA";"PMDB";6;0;133531,7985;28953,12196;"Indústria";28024227,35;13257270,48;"0,473064621";"";867,5292308;2122;1553;297;1457;1093;199;0,072778988;0,083379652;0,002136752;"48%";0,304290514;0,607274438;0,457142558;"Sem informação";0,754;"Sim";"2006";"Sem informação";0,443098768010023;0,0620171225725621;0,324284819377741
3503307;703;-22,36939257;-47,38881139;"Araras";"SÃO PAULO";"SP";"Sudeste";"Centro Subregional B";"AUP";1;118843;"95%";128895;130102;0,020506126;644,8;201,7710918;"NELSON DIMAS BRAMBILLA";"PT";"PEDRO ELISEU FILHO";"PSDB";48;26,84;4242641,856;33567,59466;"Serviços";450806309,4;311225368,8;"0,690374918";"";928,3144571;91675;57696;27563;67807;42932;20198;0,060896256;0,064151897;0,002996215;"88%";0,815798643;0,744611185;0,75078684;"18,79979007";0,781;"Sim";"1972";"Não";0,704639436749627;0,21185685077862;0,443467433244685
